prompt_id,prompt_family,repetition_index,token_count,latency_ms,decision,g_score,g_final,v_score,delta_g,stability_score,coherence_score,semantic_risk,factual_hallucination_score,semantic_instability_score,information_density,error,baromètre,modèle
NM-WEEKLY-Q01,reasoning_simple,25,346.0,25475.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5753,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,26,381.0,26032.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5828,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,27,339.0,25172.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5996,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,28,347.0,25214.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5863,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,29,338.0,25227.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5834,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,30,348.0,24963.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5845,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,31,347.0,25504.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5857,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,32,357.0,25077.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.584,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,33,349.0,24944.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5761,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,34,367.0,25623.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5713,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,35,362.0,25283.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5855,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,36,373.0,25613.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5831,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,37,360.0,25369.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5995,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,38,344.0,29171.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.583,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,39,366.0,25684.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5763,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,40,350.0,25044.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5716,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,41,358.0,25861.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.585,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,42,356.0,25418.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.601,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,43,363.0,25466.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5952,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,44,333.0,25272.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5953,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,45,357.0,25278.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5811,,baromètre1,anthropic_claude-sonnet-4-5-20250929
