baromètre,modèle,fichier,nombre_erreurs,nombre_lignes
baromètre4,infomaniak_swiss-ai_Apertus-70B-Instruct-2509,data\baromètre4\infomaniak_swiss-ai_Apertus-70B-Instruct-2509_weekly_baseline_d1_20260709T175004Z_results.csv,0,400
baromètre4,mistral_mistral-large-latest,data\baromètre4\mistral_mistral-large-latest_weekly_baseline_d1_20260709T061416Z_results.csv,2,400
baromètre4,openai_gpt-4o-2024-11-20,data\baromètre4\openai_gpt-4o-2024-11-20_weekly_baseline_d1_20260709T061415Z_results.csv,0,400
baromètre4,perplexity_sonar,data\baromètre4\perplexity_sonar_weekly_baseline_d1_20260709T061548Z_results.csv,0,400
baromètre4,qwen_qwen-plus,data\baromètre4\qwen_qwen-plus_weekly_baseline_d1_20260709T061416Z_results.csv,4,400
baromètre4,together_meta-llama_Llama-3.3-70B-Instruct-Turbo,data\baromètre4\together_meta-llama_Llama-3.3-70B-Instruct-Turbo_weekly_baseline_d1_20260709T061416Z_results.csv,1,400
baromètre4,xai_grok-4,data\baromètre4\xai_grok-4_weekly_baseline_d1_20260709T061416Z_results.csv,1,400
baromètre5,anthropic_claude-sonnet-4-5-20250929,data\baromètre5\anthropic_claude-sonnet-4-5-20250929_weekly_baseline_d1_retry_20260715T225539Z_results.csv,0,400
baromètre5,cohere_command-a-03-2025,data\baromètre5\cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T230840Z_results.csv,0,400
baromètre5,deepseek_deepseek-chat,data\baromètre5\deepseek_deepseek-chat_weekly_baseline_d1_retry_20260715T225539Z_results.csv,0,400
baromètre5,google_gemini-2.5-flash,data\baromètre5\google_gemini-2.5-flash_weekly_baseline_d1_retry_20260715T225539Z_results.csv,0,400
baromètre5,infomaniak_mistralai_Mistral-Small-4-119B-2603,data\baromètre5\infomaniak_mistralai_Mistral-Small-4-119B-2603_weekly_baseline_d1_retry_20260715T225539Z_results.csv,1,400
baromètre5,infomaniak_swiss-ai_Apertus-70B-Instruct-2509,data\baromètre5\infomaniak_swiss-ai_Apertus-70B-Instruct-2509_weekly_baseline_d1_retry_20260715T225539Z_results.csv,1,400
baromètre5,mistral_mistral-large-latest,data\baromètre5\mistral_mistral-large-latest_weekly_baseline_d1_retry_20260715T225539Z_results.csv,0,400
baromètre5,openai_gpt-4o-2024-11-20,data\baromètre5\openai_gpt-4o-2024-11-20_weekly_baseline_d1_retry_20260715T225539Z_results.csv,0,400
baromètre5,perplexity_sonar,data\baromètre5\perplexity_sonar_weekly_baseline_d1_retry_20260715T230437Z_results.csv,0,400
baromètre5,qwen_qwen-plus,data\baromètre5\qwen_qwen-plus_weekly_baseline_d1_retry_20260715T225540Z_results.csv,0,400
baromètre5,together_meta-llama_Llama-3.3-70B-Instruct-Turbo,data\baromètre5\together_meta-llama_Llama-3.3-70B-Instruct-Turbo_weekly_baseline_d1_retry_20260715T225540Z_results.csv,0,400
baromètre5,xai_grok-4,data\baromètre5\xai_grok-4_weekly_baseline_d1_retry_20260715T225540Z_results.csv,0,400
baromètre7,anthropic_claude-sonnet-4-5-20250929,data\baromètre7\anthropic_claude-sonnet-4-5-20250929_weekly_baseline_d1_20260729T110909Z_results.csv,0,400
baromètre7,cohere_command-a-03-2025,data\baromètre7\cohere_command-a-03-2025_weekly_baseline_d1_20260729T110910Z_results.csv,1,400
baromètre7,deepseek_deepseek-chat,data\baromètre7\deepseek_deepseek-chat_weekly_baseline_d1_20260729T110911Z_results.csv,0,400
baromètre7,google_gemini-2.5-flash,data\baromètre7\google_gemini-2.5-flash_weekly_baseline_d1_20260729T110913Z_results.csv,0,400
baromètre7,infomaniak_mistralai_Mistral-Small-4-119B-2603,data\baromètre7\infomaniak_mistralai_Mistral-Small-4-119B-2603_weekly_baseline_d1_20260729T110912Z_results.csv,0,400
baromètre7,infomaniak_swiss-ai_Apertus-70B-Instruct-2509,data\baromètre7\infomaniak_swiss-ai_Apertus-70B-Instruct-2509_weekly_baseline_d1_20260729T110909Z_results.csv,0,400
baromètre7,mistral_mistral-large-latest,data\baromètre7\mistral_mistral-large-latest_weekly_baseline_d1_20260729T110913Z_results.csv,0,400
baromètre7,openai_gpt-4o-2024-11-20,data\baromètre7\openai_gpt-4o-2024-11-20_weekly_baseline_d1_20260729T110914Z_results.csv,0,400
baromètre7,perplexity_sonar,data\baromètre7\perplexity_sonar_weekly_baseline_d1_20260729T111152Z_results.csv,0,400
baromètre7,qwen_qwen-plus,data\baromètre7\qwen_qwen-plus_weekly_baseline_d1_20260729T110916Z_results.csv,0,400
